coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
PENDLE,hl,binance,0.089604,0.119531,0.158837,0.923077,0.000723,0.000182,89.708333,1.0,8.0,0.0019,0.040068,0.066487,0.029368
PEPE,hl,binance,0.087306,0.119767,0.166229,0.912088,0.00151,0.000259,89.708333,1.0,8.0,0.0019,0.03777,0.064189,0.06686
SUI,hl,binance,0.08506,0.119188,0.180294,0.857143,0.000755,0.000259,89.708333,1.0,8.0,0.0019,0.035524,0.061943,0.013118
SUI,hl,okx,0.082945,0.116677,0.180255,0.857143,0.000845,0.000261,89.708333,1.0,8.0,0.0019,0.03341,0.059829,0.03098
SUI,hl,bybit,0.083806,0.117275,0.179033,0.846154,0.00082,0.000261,89.708333,1.0,8.0,0.002,0.031663,0.059473,0.012888
PEPE,hl,bybit,0.083792,0.121529,0.172216,0.868132,0.001845,0.000275,89.708333,1.0,8.0,0.002,0.03165,0.059459,0.017421
LDO,hl,bybit,0.083705,0.0,0.0,0.954545,0.000249,0.00011,20.833333,1.000001,8.0,0.002,0.031563,0.059372,0.037767
ATOM,bybit,hl,0.083026,0.029201,0.034942,0.692308,0.001323,0.000391,89.708333,8.0,1.0,0.002,0.030883,0.058692,0.64978
ATOM,binance,hl,0.079429,0.028703,0.029996,0.648352,0.001367,0.000389,89.708333,8.0,1.0,0.0019,0.029894,0.056313,0.425995
BANANA,hl,binance,0.072571,0.098803,0.099351,0.978022,0.004968,0.000446,89.875,1.0,4.0,0.0019,0.023035,0.049454,0.174565
CRV,hl,binance,0.071186,0.127215,0.19836,0.846154,0.001036,0.000311,89.708333,1.0,8.0,0.0019,0.02165,0.048069,0.021115
BNB,hl,binance,0.070805,0.107607,0.167461,0.846154,0.000551,0.000262,89.708333,1.0,8.0,0.0019,0.021269,0.047688,0.089122
CRV,hl,bybit,0.071808,0.126399,0.195146,0.824176,0.001053,0.00031,89.708333,1.0,8.0,0.002,0.019665,0.047475,0.021115
BNB,hl,bybit,0.071062,0.106788,0.166462,0.857143,0.000554,0.000264,89.708333,1.0,8.0,0.002,0.018919,0.046728,0.003077
