coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
ADA,aster,ApeX,270,1417,59.0,0.048,0.0,-4.1,-7.7,0.259,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
ADA,okx,Backpack,277,1417,59.0,0.067,0.0,-5.3,-10.9,0.068,10.3,10.9,0.4,-4.9,-10.4,,untested,reachable
ADA,bybit,Pacifica,270,1417,59.0,0.413,0.0,-2.8,-10.0,-0.127,8.4,8.8,0.41,-5.0,-10.7,,untested,blocked
ADA,bybit,Bitunix,270,1417,59.0,0.135,0.0,-4.0,-10.1,-0.054,8.4,10.9,0.41,-5.0,-10.7,,untested,blocked
ADA,aster,edgeX,270,1417,59.0,0.006,0.0,-3.8,-7.7,0.29,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
ADA,bybit,Bitunix,270,1417,59.0,0.135,0.0,-4.0,-10.1,-0.054,8.4,10.9,0.41,-5.0,-10.7,,untested,blocked
ADA,bybit,Bitunix,270,1417,59.0,0.135,0.0,-4.0,-10.1,-0.054,8.4,10.9,0.41,-5.0,-10.7,,untested,blocked
ADA,aster,GRVT,270,1417,59.0,0.062,0.0,-4.8,-7.7,0.205,10.9,10.9,0.38,-4.6,-9.9,,untested,blocked
ADA,aster,HTX,270,1417,59.0,0.0,0.0,-5.1,-7.7,0.174,10.9,10.9,0.38,-4.6,-9.9,,untested,reachable
ADA,okx,Variational,277,169,7.0,0.716,0.0,-0.0,-1.8,-0.736,10.9,10.9,0.4,-4.9,-10.4,9.838263505978427e+16,untested,blocked
AERO,binance,Backpack,539,1421,59.2,0.072,0.0,-13.9,-19.9,0.143,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
AERO,binance,Variational,539,173,7.2,0.653,0.0,-0.0,-7.3,-2.716,8.4,10.9,0.4,-4.9,-10.4,9.838263505978427e+16,untested,blocked
AERO,bybit,WhiteBIT,540,173,7.2,0.0,0.0,-5.5,0.0,-0.465,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
AXS,binance,BingX,174,1437,59.9,0.006,0.0,-4.6,-5.7,0.251,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
AXS,binance,WhiteBIT,174,1437,59.9,0.003,0.0,-4.7,-2.4,0.293,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
AXS,binance,KuCoin,174,1153,48.0,0.035,0.0,-0.4,0.0,-0.005,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
AXS,binance,LBank,174,189,7.9,0.0,0.0,0.0,0.0,0.0,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
AXS,binance,Variational,174,185,7.7,0.741,0.0,-2.0,-1.0,-0.254,10.9,10.9,0.4,-4.9,-10.4,9.838263505978427e+16,untested,blocked
BZ,binance,GRVT,539,1421,59.2,0.243,0.0,-5.0,-7.8,0.388,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
BZ,binance,Variational,539,785,32.7,0.189,0.0,-0.1,-3.4,-0.074,-8.4,-3.2,0.4,-4.9,-10.4,,untested,blocked
CRO,bybit,BingX,144,1433,59.7,0.006,0.0,-4.5,0.0,0.175,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
CRO,bybit,Bitunix,144,1433,59.7,0.414,0.0,1.2,0.0,0.293,10.9,10.9,0.41,-5.0,-10.7,,untested,blocked
CRO,bybit,KuCoin,144,1433,59.7,0.107,0.0,-4.8,0.0,0.186,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
CRO,bybit,MEXC,144,1433,59.7,0.458,0.0,5.0,0.0,0.128,10.9,10.8,0.41,-5.0,-10.7,,untested,blocked
EIGEN,binance,ApeX,152,1437,59.9,0.038,0.0,-0.7,0.0,0.08,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
EIGEN,binance,BingX,152,1437,59.9,0.003,0.0,-1.2,0.0,0.055,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
EIGEN,binance,Bitunix,152,1437,59.9,0.07,0.0,-0.0,0.0,0.002,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
EIGEN,binance,GRVT,152,1437,59.9,0.014,0.0,-1.2,0.0,0.064,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
EIGEN,binance,MEXC,152,1437,59.9,0.092,0.0,0.0,0.0,-0.0,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
EIGEN,binance,WhiteBIT,152,1437,59.9,0.0,0.0,-1.3,0.0,0.066,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
EIGEN,binance,KuCoin,152,1153,48.0,0.111,0.0,1.6,0.0,0.142,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
EIGEN,binance,LBank,152,189,7.9,0.0,0.0,0.0,0.0,0.0,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
EIGEN,binance,Variational,152,189,7.9,0.852,0.0,1.8,0.0,-0.565,10.9,10.9,0.4,-4.9,-10.4,9.838263505978427e+16,untested,blocked
KIOXIA,okx,LBank,180,801,33.4,0.429,0.0,23.5,0.0,-0.016,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
KIOXIA,okx,MEXC,180,777,32.4,0.422,0.0,13.4,0.0,1.937,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
LA,binance,Bitunix,539,1421,59.2,0.279,0.0,-24.5,-2.4,0.459,9.6,6.8,0.4,-4.9,-10.4,,untested,blocked
LA,bybit,GRVT,540,1421,59.2,0.031,0.0,-72.2,-75.2,0.962,10.9,10.9,0.41,-5.0,-10.7,,untested,blocked
LA,binance,MEXC,539,1421,59.2,0.17,0.0,2.6,-0.1,0.008,9.6,10.1,0.4,-4.9,-10.4,,untested,blocked
LA,binance,WhiteBIT,539,1421,59.2,0.132,0.0,-53.0,-36.8,1.184,9.6,10.9,0.4,-4.9,-10.4,,untested,reachable
LA,binance,KuCoin,539,1137,47.4,0.159,0.0,-12.5,-14.4,0.272,7.9,10.9,0.4,-4.9,-10.4,,untested,reachable
LA,binance,LBank,539,785,32.7,0.225,0.0,3.9,0.0,-0.5,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
NAVER,binance,HTX,58,457,19.0,0.123,0.0,-1.1,0.0,-1.224,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
NAVER,binance,LBank,58,457,19.0,0.053,0.0,-0.1,0.0,0.081,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
NAVER,binance,GRVT,58,361,15.0,0.111,0.0,-2.4,0.0,0.393,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
NBIS,binance,GRVT,270,1417,59.0,0.102,0.0,-11.3,-8.3,0.644,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
NBIS,binance,HTX,270,1417,59.0,0.187,0.0,1.2,-8.0,0.207,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
NBIS,binance,LBank,270,785,32.7,0.183,0.0,-0.2,0.0,0.305,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
NBIS,binance,MEXC,270,761,31.7,0.179,0.0,-0.3,0.0,0.343,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ORCL,binance,GRVT,275,1417,59.0,0.119,0.0,-11.7,-3.2,0.821,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ORCL,binance,HTX,275,1417,59.0,0.219,0.0,1.3,0.0,0.051,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
ORCL,binance,LBank,275,785,32.7,0.102,0.0,1.1,0.0,0.044,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ORCL,binance,Variational,275,785,32.7,0.153,0.0,1.9,0.0,-0.084,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
ORCL,binance,MEXC,275,761,31.7,0.105,0.0,1.1,0.0,0.039,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
QCOM,binance,GRVT,138,1433,59.7,0.011,0.0,-11.4,-12.8,0.403,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
QCOM,binance,HTX,138,1433,59.7,0.174,0.0,3.3,0.0,0.217,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
QCOM,binance,Extended,138,1297,54.0,0.196,0.0,-6.8,0.0,0.422,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
QCOM,binance,MEXC,138,777,32.4,0.084,0.0,-0.0,0.0,-0.001,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
RKLB,binance,GRVT,270,1417,59.0,0.176,0.0,-8.9,-2.5,0.656,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
RKLB,binance,HTX,270,1417,59.0,0.283,0.0,3.2,0.0,0.09,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
RKLB,binance,Extended,270,1281,53.4,0.274,0.0,-7.5,-3.3,0.424,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
RKLB,binance,MEXC,270,761,31.7,0.264,0.0,1.2,0.0,0.063,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
SAMSUNG,binance,GRVT,422,1417,59.0,0.172,0.0,-14.6,-27.8,0.534,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
SAMSUNG,binance,HTX,422,1417,59.0,0.26,0.0,-0.7,-10.9,-0.338,0.0,0.0,0.4,-4.9,-10.4,,untested,reachable
1000PEPE,binance,edgeX,180,1433,59.7,0.045,0.0,-2.9,-10.4,0.326,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
