venue,symbol,market,asset_class,mechanism,rate,interval_h,apr,oi_usd,stale,suspect
orderly,DRAM,PERP_DRAM_USDC_mythos,etf,standard,0.00010021,8.0,0.10972995,4755.9139000000005,False,False
ostium,DRAM,DRAM,etf,funding_plus_borrow,0.0,1.0,0.0,39419.59216060524,False,False
gate,DSBJ,DSBJ_USDT,equity,standard,0.0,8.0,0.0,5044.157,False,False
bitget,DXYZ,DXYZUSDT,equity,standard,0.0,8.0,0.0,310622.71547999926,False,False
aster,EBAY,EBAYUSDT,equity,standard,0.0,8.0,0.0,7325.9758205424,False,False
binance,EBAY,EBAYUSDT,equity,standard,0.0,8.0,0.0,251373.25213992,False,False
bybit,EBAY,EBAYUSDT,equity,standard,0.0,8.0,0.0,39755.815200000005,False,False
gate,EBAY,EBAY_USDT,equity,standard,0.0,8.0,0.0,73923.3144,False,False
hyperliquid,EBAY,xyz:EBAY,equity,builder_set,-3.59137e-05,1.0,-0.314604012,656610.5936,False,False
bitget,ECHO,ECHOUSDT,equity,standard,0.0,8.0,0.0,69950.812,False,False
gate,EEM,EEM_USDT,equity,standard,0.0,8.0,0.0,335.65,False,False
gate,EOPTOLINK,EOPTOLINK_USDT,equity,standard,0.0,8.0,0.0,26751.668,False,False
bitget,ETN,ETNUSDT,equity,standard,0.0,8.0,0.0,195027.65740000005,False,False
hyperliquid,EUR,xyz:EUR,fx,builder_set,4.3878e-06,1.0,0.038437128,15064044.94368,False,False
ostium,EUR,EUR,fx,funding_plus_borrow,0.0,1.0,0.0,2009876.4145793892,False,False
lighter,EURUSD,EURUSD,fx,standard,0.0,8.0,0.0,1297291.677726,False,False
pacifica,EURUSD,EURUSD,fx,standard,1.25e-05,1.0,0.1095,259105.15987200002,False,False
bitget,EUV,EUVUSDT,equity,standard,0.0,8.0,0.0,119643.86880000001,False,False
bitget,EVEX,EVEXUSDT,equity,standard,0.0,8.0,0.0,103456.46224000001,False,False
bitget,EWH,EWHUSDT,equity,standard,0.0,8.0,0.0,92032.35719999882,False,False
aster,EWJ,EWJUSDT,etf,standard,0.0,8.0,0.0,13796.642186132998,False,False
binance,EWJ,EWJUSDT,etf,standard,0.0,8.0,0.0,1316438.2770924624,False,False
bitget,EWJ,EWJUSDT,etf,standard,0.0,8.0,0.0,532282.2498000001,False,False
gate,EWJ,EWJ_USDT,etf,standard,0.0,8.0,0.0,200029.9984,False,False
