coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
UNI,bybit,bitget,0.0889,-0.0311,0.0609,8,8.0,-1,
XRP,binance,okx,0.0851,-0.0192,0.0608,8,8,-1,
BCH,gate,binance,0.0843,-0.0200,0.0600,8,8,-1,
ZRO,binance,bybit,0.0850,-0.0245,0.0594,4.0,4,-1,
CL,gate,aster,0.0812,-0.0126,0.0593,4,8,-1,
BNB,bybit,binance,0.0842,-0.0253,0.0586,8,8.0,-1,
XRP,binance,bitget,0.0851,-0.0296,0.0584,8,8,-1,
ZHIPU,bybit,binance,0.0837,-0.0258,0.0581,8,8.0,-1,
TRUMP,bitget,bybit,0.0858,-0.0342,0.0578,4.0,4,-1,
AAVE,bitget,hl,0.0832,-0.0263,0.0577,1.0,8,6658563.41,
BCH,gate,bitget,0.0843,-0.0304,0.0575,8,8,-1,
ZEC,gate,bitget,0.0843,-0.0304,0.0575,8,8,-1,
BTC,bybit,hl,0.0811,-0.0231,0.0568,1.0,8.0,-1,
SOL,bybit,binance,0.0820,-0.0275,0.0565,8,8.0,-1,
AAVE,binance,hl,0.0778,-0.0213,0.0546,1.0,8,-1,
AVAX,bitget,hl,0.0801,-0.0294,0.0546,1.0,8,1660586.8222860002,
XAG,gate,bitget,0.0810,-0.0337,0.0543,4,8,-1,
APT,bitget,bybit,0.0817,-0.0382,0.0538,8.0,8,-1,
LTC,bybit,hl,0.0779,-0.0264,0.0536,1.0,8.0,-1,
BTC,bybit,bitget,0.0811,-0.0388,0.0532,8,8.0,-1,
BZ,bybit,binance,0.0783,-0.0312,0.0527,4,8.0,-1,
BNB,gate,binance,0.0768,-0.0275,0.0525,8,8,-1,
LTC,bybit,binance,0.0779,-0.0316,0.0524,8,8.0,-1,
PAXG,bitget,bybit,0.0788,-0.0411,0.0509,4.0,4,-1,
EWT,binance,gate,0.0746,-0.0297,0.0502,8,8,-1,
SOL,binance,gate,0.0744,-0.0299,0.0501,8,8,-1,
SUI,bitget,hl,0.0756,-0.0339,0.0500,1.0,8,10170941.250053,
LTC,bybit,bitget,0.0779,-0.0420,0.0499,8,8.0,-1,
METIS,binance,gate,0.0742,-0.0301,0.0498,8,4,-1,
AAVE,bybit,hl,0.0735,-0.0308,0.0491,1.0,8.0,-1,
ICP,bybit,hl,0.0729,-0.0314,0.0485,1.0,8.0,-1,
ICP,bybit,binance,0.0729,-0.0366,0.0473,8,8.0,-1,
XVS,gate,bybit,0.0710,-0.0385,0.0454,8.0,8,-1,
DASH,binance,hl,0.0684,-0.0306,0.0453,1.0,8,-1,
SOL,hl,gate,0.0678,-0.0312,0.0447,8,1.0,-1,
ARB,okx,bitget,0.0707,-0.0440,0.0439,8,8,-1,
GOOGL,bitget,binance,0.0701,-0.0446,0.0433,8,8,-1,
PENDLE,binance,hl,0.0660,-0.0330,0.0429,1.0,8,-1,
